symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BTX,2016-09-21 00:00:00+00:00,7.44,7.89,7.3,7.3,1757,14.88,15.78,14.6,14.6,878,0.0,1.0
BTX,2016-09-22 00:00:00+00:00,7.32,7.42,6.75,7.42,31985,14.64,14.84,13.5,14.84,15992,0.0,1.0
BTX,2016-09-23 00:00:00+00:00,7.48,7.79,7.23,7.29,26007,14.96,15.58,14.46,14.58,13003,0.0,1.0
BTX,2016-09-26 00:00:00+00:00,7.61,7.61,7.23,7.5,7914,15.22,15.22,14.46,15.0,3957,0.0,1.0
BTX,2016-09-27 00:00:00+00:00,7.09,7.42,7.09,7.42,6842,14.18,14.84,14.18,14.84,3421,0.0,1.0
BTX,2016-09-28 00:00:00+00:00,7.31,7.33,6.82,6.94,11152,14.62,14.66,13.64,13.88,5576,0.0,1.0
BTX,2016-09-29 00:00:00+00:00,7.0,7.28,6.7,7.25,15646,14.0,14.56,13.4,14.5,7823,0.0,1.0
BTX,2016-09-30 00:00:00+00:00,7.099,7.099,6.81,6.81,6015,14.198,14.198,13.62,13.62,3007,0.0,1.0
BTX,2016-10-03 00:00:00+00:00,6.7201,6.94,6.61,6.94,9543,13.4402,13.88,13.22,13.88,4771,0.0,1.0
BTX,2016-10-04 00:00:00+00:00,6.66,6.75,6.66,6.72,1244,13.32,13.5,13.32,13.44,622,0.0,1.0
BTX,2016-10-05 00:00:00+00:00,6.74,6.769,6.53,6.53,3083,13.48,13.538,13.06,13.06,1541,0.0,1.0
BTX,2016-10-06 00:00:00+00:00,6.74,6.74,6.74,6.74,0,13.48,13.48,13.48,13.48,0,0.0,1.0
BTX,2016-10-07 00:00:00+00:00,6.6,6.81,6.52,6.79,4772,13.2,13.62,13.04,13.58,2386,0.0,1.0
BTX,2016-10-10 00:00:00+00:00,6.51,6.51,6.51,6.51,167,13.02,13.02,13.02,13.02,83,0.0,1.0
BTX,2016-10-11 00:00:00+00:00,6.56,6.6,6.53,6.53,3030,13.12,13.2,13.06,13.06,1515,0.0,1.0
BTX,2016-10-12 00:00:00+00:00,6.62,6.684,6.55,6.6,11488,13.24,13.368,13.1,13.2,5744,0.0,1.0
BTX,2016-10-13 00:00:00+00:00,6.53,6.53,6.53,6.53,350,13.06,13.06,13.06,13.06,175,0.0,1.0
BTX,2016-10-14 00:00:00+00:00,6.8,7.0,6.52,6.52,15453,13.6,14.0,13.04,13.04,7726,0.0,1.0
BTX,2016-10-17 00:00:00+00:00,6.8501,6.9,6.81,6.81,2515,13.7002,13.8,13.62,13.62,1257,0.0,1.0
BTX,2016-10-18 00:00:00+00:00,6.76,6.86,6.76,6.85,2963,13.52,13.72,13.52,13.7,1481,0.0,1.0
BTX,2016-10-19 00:00:00+00:00,6.7101,6.8651,6.7,6.8651,5607,13.4202,13.7302,13.4,13.7302,2803,0.0,1.0
BTX,2016-10-20 00:00:00+00:00,6.48,6.48,6.44,6.44,428,12.96,12.96,12.88,12.88,214,0.0,1.0
BTX,2016-10-21 00:00:00+00:00,6.48,6.6,6.48,6.51,802,12.96,13.2,12.96,13.02,401,0.0,1.0
BTX,2016-10-24 00:00:00+00:00,6.47,6.47,6.46,6.46,407,12.94,12.94,12.92,12.92,203,0.0,1.0
BTX,2016-10-25 00:00:00+00:00,6.4995,6.5,6.45,6.4517,929,12.999,13.0,12.9,12.9034,464,0.0,1.0
BTX,2016-10-26 00:00:00+00:00,6.7299,6.7299,6.46,6.46,485,13.4598,13.4598,12.92,12.92,242,0.0,1.0
BTX,2016-10-27 00:00:00+00:00,6.55,6.55,6.55,6.55,110,13.1,13.1,13.1,13.1,55,0.0,1.0
BTX,2016-10-28 00:00:00+00:00,6.6389,6.6599,6.6389,6.6599,752,13.2778,13.3198,13.2778,13.3198,376,0.0,1.0
BTX,2016-10-31 00:00:00+00:00,6.6389,6.6389,6.6389,6.6389,4,13.2778,13.2778,13.2778,13.2778,2,0.0,1.0
