symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
UBER,2019-07-17 00:00:00+00:00,43.62,44.35,43.52,44.06,5854149,43.62,44.35,43.52,44.06,5854149,0.0,1.0
UBER,2019-07-18 00:00:00+00:00,43.71,43.85,43.19,43.5,4123615,43.71,43.85,43.19,43.5,4123615,0.0,1.0
UBER,2019-07-19 00:00:00+00:00,43.18,44.086,43.16,43.9,4021018,43.18,44.086,43.16,43.9,4021018,0.0,1.0
UBER,2019-07-22 00:00:00+00:00,43.69,43.72,43.01,43.25,3822276,43.69,43.72,43.01,43.25,3822276,0.0,1.0
UBER,2019-07-23 00:00:00+00:00,43.36,44.31,43.11,43.75,5110090,43.36,44.31,43.11,43.75,5110090,0.0,1.0
UBER,2019-07-24 00:00:00+00:00,43.76,43.87,43.36,43.36,3775677,43.76,43.87,43.36,43.36,3775677,0.0,1.0
UBER,2019-07-25 00:00:00+00:00,43.4,43.96,43.21,43.72,4411991,43.4,43.96,43.21,43.72,4411991,0.0,1.0
UBER,2019-07-26 00:00:00+00:00,44.52,44.96,43.39,43.42,7598828,44.52,44.96,43.39,43.42,7598828,0.0,1.0
UBER,2019-07-29 00:00:00+00:00,43.88,45.627,43.12,45.0,8652204,43.88,45.627,43.12,45.0,8652204,0.0,1.0
UBER,2019-07-30 00:00:00+00:00,42.59,43.74,42.49,43.71,7686342,42.59,43.74,42.49,43.71,7686342,0.0,1.0
UBER,2019-07-31 00:00:00+00:00,42.14,42.98,41.84,42.6,5970774,42.14,42.98,41.84,42.6,5970774,0.0,1.0
UBER,2019-08-01 00:00:00+00:00,41.31,42.5355,41.0,42.14,7349740,41.31,42.5355,41.0,42.14,7349740,0.0,1.0
UBER,2019-08-02 00:00:00+00:00,40.4,41.06,39.95,41.03,8225677,40.4,41.06,39.95,41.03,8225677,0.0,1.0
UBER,2019-08-05 00:00:00+00:00,39.05,39.42,38.4325,39.35,9799269,39.05,39.42,38.4325,39.35,9799269,0.0,1.0
UBER,2019-08-06 00:00:00+00:00,39.15,40.808,38.36,39.68,8570273,39.15,40.808,38.36,39.68,8570273,0.0,1.0
UBER,2019-08-07 00:00:00+00:00,39.7,39.99,38.32,39.06,8896039,39.7,39.99,38.32,39.06,8896039,0.0,1.0
UBER,2019-08-08 00:00:00+00:00,42.97,43.0,41.25,41.98,29610463,42.97,43.0,41.25,41.98,29610463,0.0,1.0
UBER,2019-08-09 00:00:00+00:00,40.05,40.68,38.71,39.56,35138775,40.05,40.68,38.71,39.56,35138775,0.0,1.0
UBER,2019-08-12 00:00:00+00:00,37.0,39.95,37.0,39.83,25890804,37.0,39.95,37.0,39.83,25890804,0.0,1.0
UBER,2019-08-13 00:00:00+00:00,36.45,37.46,36.12,37.0,19031422,36.45,37.46,36.12,37.0,19031422,0.0,1.0
UBER,2019-08-14 00:00:00+00:00,33.96,36.2999,33.36,36.0,24481636,33.96,36.2999,33.36,36.0,24481636,0.0,1.0
UBER,2019-08-15 00:00:00+00:00,33.22,34.55,32.92,34.52,13265793,33.22,34.55,32.92,34.52,13265793,0.0,1.0
UBER,2019-08-16 00:00:00+00:00,35.23,35.48,33.4,33.46,13883152,35.23,35.48,33.4,33.46,13883152,0.0,1.0
UBER,2019-08-19 00:00:00+00:00,34.61,35.8,34.37,35.53,10853126,34.61,35.8,34.37,35.53,10853126,0.0,1.0
UBER,2019-08-20 00:00:00+00:00,35.29,36.07,34.39,34.48,10766387,35.29,36.07,34.39,34.48,10766387,0.0,1.0
UBER,2019-08-21 00:00:00+00:00,34.91,35.83,34.75,35.5,7949074,34.91,35.83,34.75,35.5,7949074,0.0,1.0
UBER,2019-08-22 00:00:00+00:00,34.0,34.91,33.52,34.8,8516485,34.0,34.91,33.52,34.8,8516485,0.0,1.0
UBER,2019-08-23 00:00:00+00:00,33.43,34.23,33.12,33.65,8186706,33.43,34.23,33.12,33.65,8186706,0.0,1.0
UBER,2019-08-26 00:00:00+00:00,33.31,33.83,33.06,33.67,5669714,33.31,33.83,33.06,33.67,5669714,0.0,1.0
UBER,2019-08-27 00:00:00+00:00,33.11,34.24,32.98,33.69,6596129,33.11,34.24,32.98,33.69,6596129,0.0,1.0
UBER,2019-08-28 00:00:00+00:00,32.59,33.05,32.26,32.56,6251800,32.59,33.05,32.26,32.56,6251800,0.0,1.0
UBER,2019-08-29 00:00:00+00:00,32.76,33.3,32.6,32.9,5811175,32.76,33.3,32.6,32.9,5811175,0.0,1.0
UBER,2019-08-30 00:00:00+00:00,32.57,33.13,32.04,33.0,6634224,32.57,33.13,32.04,33.0,6634224,0.0,1.0
UBER,2019-09-03 00:00:00+00:00,30.7,32.53,30.665,32.1,12180380,30.7,32.53,30.665,32.1,12180380,0.0,1.0
UBER,2019-09-04 00:00:00+00:00,31.99,32.36,30.85,30.91,10361778,31.99,32.36,30.85,30.91,10361778,0.0,1.0
UBER,2019-09-05 00:00:00+00:00,32.51,33.03,32.25,32.33,7936141,32.51,33.03,32.25,32.33,7936141,0.0,1.0
UBER,2019-09-06 00:00:00+00:00,31.86,32.74,31.41,32.71,7029647,31.86,32.74,31.41,32.71,7029647,0.0,1.0
UBER,2019-09-09 00:00:00+00:00,32.24,32.39,31.46,32.05,7442584,32.24,32.39,31.46,32.05,7442584,0.0,1.0
UBER,2019-09-10 00:00:00+00:00,33.51,33.74,31.65,32.0,10801078,33.51,33.74,31.65,32.0,10801078,0.0,1.0
UBER,2019-09-11 00:00:00+00:00,34.0,35.14,33.02,33.38,14686189,34.0,35.14,33.02,33.38,14686189,0.0,1.0
UBER,2019-09-12 00:00:00+00:00,34.07,34.4862,33.33,34.14,7732741,34.07,34.4862,33.33,34.14,7732741,0.0,1.0
UBER,2019-09-13 00:00:00+00:00,33.25,34.435,32.94,34.25,9424110,33.25,34.435,32.94,34.25,9424110,0.0,1.0
UBER,2019-09-16 00:00:00+00:00,34.43,34.8,33.47,33.6,7957773,34.43,34.8,33.47,33.6,7957773,0.0,1.0
UBER,2019-09-17 00:00:00+00:00,34.29,34.75,33.55,34.75,5587663,34.29,34.75,33.55,34.75,5587663,0.0,1.0
UBER,2019-09-18 00:00:00+00:00,34.26,34.89,33.75,34.35,6624182,34.26,34.89,33.75,34.35,6624182,0.0,1.0
UBER,2019-09-19 00:00:00+00:00,33.82,34.64,33.68,34.2,6883131,33.82,34.64,33.68,34.2,6883131,0.0,1.0
UBER,2019-09-20 00:00:00+00:00,32.6,34.2173,32.5,33.98,12019322,32.6,34.2173,32.5,33.98,12019322,0.0,1.0
UBER,2019-09-23 00:00:00+00:00,33.0,33.01,32.06,32.52,5518477,33.0,33.01,32.06,32.52,5518477,0.0,1.0
UBER,2019-09-24 00:00:00+00:00,31.3,33.1453,31.01,33.0,10619428,31.3,33.1453,31.01,33.0,10619428,0.0,1.0
UBER,2019-09-25 00:00:00+00:00,31.68,31.72,30.76,31.27,7877219,31.68,31.72,30.76,31.27,7877219,0.0,1.0
UBER,2019-09-26 00:00:00+00:00,31.57,32.13,31.13,31.72,6061897,31.57,32.13,31.13,31.72,6061897,0.0,1.0
UBER,2019-09-27 00:00:00+00:00,30.29,31.9,30.13,31.71,11872338,30.29,31.9,30.13,31.71,11872338,0.0,1.0
UBER,2019-09-30 00:00:00+00:00,30.47,30.735,30.17,30.4,5016791,30.47,30.735,30.17,30.4,5016791,0.0,1.0
UBER,2019-10-01 00:00:00+00:00,29.15,30.51,28.65,30.37,13432250,29.15,30.51,28.65,30.37,13432250,0.0,1.0
UBER,2019-10-02 00:00:00+00:00,29.0,29.55,28.31,28.67,9367609,29.0,29.55,28.31,28.67,9367609,0.0,1.0
UBER,2019-10-03 00:00:00+00:00,29.72,29.88,28.52,28.97,9459343,29.72,29.88,28.52,28.97,9459343,0.0,1.0
UBER,2019-10-04 00:00:00+00:00,29.67,30.18,28.9,29.9,8632493,29.67,30.18,28.9,29.9,8632493,0.0,1.0
UBER,2019-10-07 00:00:00+00:00,30.37,30.75,29.83,30.6,10144841,30.37,30.75,29.83,30.6,10144841,0.0,1.0
UBER,2019-10-08 00:00:00+00:00,29.28,30.15,29.17,30.01,7792658,29.28,30.15,29.17,30.01,7792658,0.0,1.0
UBER,2019-10-09 00:00:00+00:00,29.07,29.62,28.81,29.62,7127738,29.07,29.62,28.81,29.62,7127738,0.0,1.0
UBER,2019-10-10 00:00:00+00:00,28.87,29.28,28.58,29.21,7776421,28.87,29.28,28.58,29.21,7776421,0.0,1.0
UBER,2019-10-11 00:00:00+00:00,30.13,30.4,28.94,28.95,10292793,30.13,30.4,28.94,28.95,10292793,0.0,1.0
UBER,2019-10-14 00:00:00+00:00,31.12,31.54,29.8186,30.22,7965440,31.12,31.54,29.8186,30.22,7965440,0.0,1.0
UBER,2019-10-15 00:00:00+00:00,32.0,32.17,31.195,31.2,7903860,32.0,32.17,31.195,31.2,7903860,0.0,1.0
UBER,2019-10-16 00:00:00+00:00,31.87,32.38,31.4376,31.8,7799878,31.87,32.38,31.4376,31.8,7799878,0.0,1.0
UBER,2019-10-17 00:00:00+00:00,32.62,32.93,31.45,31.8,7238010,32.62,32.93,31.45,31.8,7238010,0.0,1.0
UBER,2019-10-18 00:00:00+00:00,32.06,32.66,31.27,32.55,8073092,32.06,32.66,31.27,32.55,8073092,0.0,1.0
UBER,2019-10-21 00:00:00+00:00,31.41,32.2828,31.185,31.95,7226900,31.41,32.2828,31.185,31.95,7226900,0.0,1.0
UBER,2019-10-22 00:00:00+00:00,32.53,33.89,30.22,31.41,19242183,32.53,33.89,30.22,31.41,19242183,0.0,1.0
UBER,2019-10-23 00:00:00+00:00,33.05,33.27,32.17,32.87,6833480,33.05,33.27,32.17,32.87,6833480,0.0,1.0
UBER,2019-10-24 00:00:00+00:00,33.28,33.42,32.51,33.0,6789028,33.28,33.42,32.51,33.0,6789028,0.0,1.0
